Sedol,Fund name,Share class,Ongoing Charge,AMC,Admin Cost Charge,Perf Fee,Entry Charge,Taxes,Trade Ex,Research,Pricing Basis,Dilution Rates,Umbrella
BN31T92,Global Equity,B,0.11,0.00,0.11,N/A,0.00,0.06,0.03,0.01,Single Swing,0.08 / 0.10,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BN31TB4,Global Equity,B,0.11,0.00,0.11,N/A,0.00,0.06,0.03,0.01,Single Swing,0.08 / 0.10,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BN31TC5,Global Equity,X,0.86,0.75,0.11,N/A,0.00,0.06,0.03,0.01,Single Swing,0.08 / 0.10,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BN31TD6,Global Equity,X,0.86,0.75,0.11,N/A,0.00,0.06,0.03,0.01,Single Swing,0.08 / 0.10,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BN31TF8,Global Focus,A,1.87,1.75,0.12,N/A,0.00,0.11,0.01,0.02,Single Swing,0.08 / 0.15,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BN31TG9,Global Focus,A,1.87,1.75,0.12,N/A,0.00,0.11,0.01,0.02,Single Swing,0.08 / 0.15,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BN31TH0,Global Focus,B,0.12,0.00,0.12,N/A,0.00,0.11,0.01,0.02,Single Swing,0.08 / 0.15,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BN31TJ2,Global Focus,B,0.12,0.00,0.12,N/A,0.00,0.11,0.01,0.02,Single Swing,0.08 / 0.15,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BN31TK3,Global Focus,X,1.12,1.00,0.12,N/A,0.00,0.11,0.01,0.02,Single Swing,0.08 / 0.15,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BN31TL4,Global Focus,X,1.12,1.00,0.12,N/A,0.00,0.11,0.01,0.02,Single Swing,0.08 / 0.15,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BSTLNK0,UK Income,Z,0.90,0.75,0.15,N/A,0.00,^,^,^,Dilution Levy,0.20 / 0.50,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BSTLNL1,UK Income,Z,0.90,0.75,0.15,N/A,0.00,^,^,^,Dilution Levy,0.20 / 0.50,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
